Review,Rating,Sentiment
**Possible Spoilers**,1,0
"Read the book, forget the movie!",2,0
**Possible Spoilers Ahead**,2,0
"What a script, what a story, what a mess!",2,0
I hope this group of film-makers never re-unites.,1,0
Primary plot!Primary direction!Poor interpretation.,1,0
This movie is terrible but it has some good effects.,3,0
I wouldn't rent this one even on dollar rental night.,1,0
GONE IN 60 SECONDS / (2000) *** (out of four),7,1
"More suspenseful, more subtle, much, much more disturbing....",2,0
Ming The Merciless does a little Bardwork and a movie most foul!,1,0
You'd better choose Paul Verhoeven's even if you have watched it.,3,0
This is a great movie. Too bad it is not available on home video.,8,1
Brilliant and moving performances by Tom Courtenay and Peter Finch.,8,1
Adrian Pasdar is excellent is this film. He makes a fascinating woman.,9,1
ROCK STAR / (2001) *** (out of four)By Blake French:,7,1
TIGERLAND / (2000) ***1/2 (out of four)By Blake French:,8,1
"Long, boring, blasphemous. Never have I been so glad to see ending credits roll.",1,0
"I don't know why I like this movie so well, but I never get tired of watching it.",10,1
ONE NIGHT AT McCOOL'S / (2001) *** (out of four)By Blake French:,8,1
Just love the interplay between two great characters of stage & screen - Veidt & Barrymore,9,1
This is a good film. This is very funny. Yet after this film there were no good Ernest films!,10,1
"no comment - stupid movie, acting average or worse... screenplay - no sense at all... SKIP IT!",2,0
"A rating of ""1"" does not begin to express how dull, depressing and relentlessly bad this movie is.",1,0
"Add this little gem to your list of holiday regulars. It issweet, funny, and endearing",9,1
"If you like Pauly Shore, you'll love Son in Law. If you hate Pauly Shore, then, well...I liked it!",10,1
Hated it with all my being. Worst movie ever. Mentally- scarred. Help me. It was that bad.TRUST ME!!!,1,0
"This is the definitive movie version of Hamlet. Branagh cuts nothing, but there are no wasted moments.",10,1
A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.,9,1
The characters are unlikeable and the script is awful. It's a waste of the talents of Deneuve and Auteuil.,3,0
"Comment this movie is impossible. Is terrible, very improbable, bad interpretation e direction. Not look!!!!!",2,0
"This is a terrible movie, don't waste your money on it. Don't even watch it for free. That's all I have to say.",1,0
a mesmerizing film that certainly keeps your attention... Ben Daniels is fascinating (and courageous) to watch.,8,1
"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",10,1
This is the greatest movie ever. If you have written it off with out ever seeing it. You must give it a second try.,10,1
Unwatchable. You can't even make it past the first three minutes. And this is coming from a huge Adam Sandler fan!!1,1,0
"Without a doubt, one of Tobe Hoppor's best! Epic storytellng, great special effects, and The Spacegirl (vamp me baby!).",10,1
"As usual, Sean Connery does a great job. Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",9,1
Absolutely fantastic! Whatever I say wouldn't do this underrated movie the justice it deserves. Watch it now! FANTASTIC!,8,1
"An unfunny, unworthy picture which is an undeserving end to Peter Sellers' career. It is a pity this movie was ever made.",1,0
For pure gothic vampire cheese nothing can compare to the Subspecies films. I highly recommend each and every one of them.,8,1
"If you haven't seen this, it's terrible. It is pure trash. I saw this about 17 years ago, and I'm still screwed up from it.",1,0
If you've ever had a mad week-end out with your mates then you'll appreciate this film. Excellent fun and a laugh a minute.,10,1
"Don't waste your time and money on it. It's not quite as bad as ""Adrenalin"", by the same director but that's not saying much.",3,0
"After slightly over 50 years of avid film watching, I've come up with some simple rules for making good movies.1.",3,0
"One of the funniest movies made in recent years. Good characterization, plot and exceptional chemistry make this one a classic",10,1
This is without a doubt the worst movie I have ever seen. It is not funny. It is not interesting and should not have been made.,2,0
Ten minutes of people spewing gallons of pink vomit. Recurring scenes of enormous piles of dog excrement - need one say more???,1,0
"Brilliant. Ranks along with Citizen Kane, The Matrix and Godfathers. Must see, at least for basset in her early days. Watch it.",10,1
Widow hires a psychopath as a handyman. Sloppy film noir thriller which doesn't make much of its tension promising set-up. (3/10),3,0
"Great movie - especially the music - Etta James - ""At Last"". This speaks volumes when you have finally found that special someone.",1,0
"The plot was really weak and confused. This is a true Oprah flick. (In Oprah's world, all men are evil and all women are victims.)",4,0
"Obviously written for the stage. Lightweight but worthwhile. How can you go wrong with Ralph Richardson, Olivier and Merle Oberon.",9,1
"A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful. A must see.",10,1
This movie is terrible. It's about some no brain surfin dude that inherits some company. Does Carrot Top have no shame?,1,0
This is quite possibly the worst sequel ever made. The script is unfunny and the acting stinks. The exact opposite of the original.,1,0
"As a big fan of Tiny Toon Adventures, I loved this movie!!! It was so funny!!! It really captured how cartoons spent their summers.",10,1
"Brilliant movie. The drawings were just amazing. Too bad it ended before it begun. I??ve waited 21 years for a sequel, but nooooo!!!",9,1
My favorite movie. What a great story this really was. I'd just like to be able to buy a copy of it but this does not seem possible.,10,1
"I caught this film late at night on HBO. Talk about wooden acting, unbelievable plot, et al. Very little going in its favor. Skip it.",2,0
"Very intelligent language usage of Ali, which you musn't miss! In one word: (eeh sentence...) Wicked, so keep it real and pass it on!",10,1
"I think it's one of the greatest movies which are ever made, and I've seen many... The book is better, but it's still a very good movie!",10,1
"This is a very cool movie. The ending of the movie is a bit more defined than the play's ending, but either way it is still a good movie.",7,1
"Were I not with friends, and so cheap, I would have walked out. It failed miserably as satire and didn't even have the redemption of camp.",1,0
"I see it when I was 12 year old and I dream to see it again !What marvelous Sammy Davis Jr singing ""it ain't necessarily so !""",10,1
